Step,AgentID,Wealth,Position
0,0,2.0,"(41, 18)"
0,1,2.0,"(41, 12)"
0,2,2.0,"(3, 17)"
0,3,2.0,"(42, 3)"
0,4,2.0,"(40, 35)"
0,5,2.0,"(35, 7)"
0,6,2.0,"(3, 10)"
0,7,2.0,"(32, 27)"
0,8,2.0,"(23, 26)"
0,9,2.0,"(3, 22)"
0,10,2.0,"(3, 7)"
0,11,2.0,"(47, 18)"
0,12,2.0,"(41, 23)"
0,13,2.0,"(19, 38)"
0,14,2.0,"(32, 18)"
0,15,2.0,"(45, 43)"
0,16,2.0,"(45, 26)"
0,17,2.0,"(48, 34)"
0,18,2.0,"(9, 38)"
0,19,2.0,"(2, 22)"
0,20,2.0,"(3, 39)"
0,21,2.0,"(41, 17)"
0,22,2.0,"(41, 38)"
0,23,2.0,"(8, 23)"
0,24,2.0,"(4, 26)"
0,25,2.0,"(39, 13)"
0,26,2.0,"(46, 46)"
0,27,2.0,"(46, 17)"
0,28,2.0,"(36, 35)"
0,29,2.0,"(15, 13)"
0,30,2.0,"(34, 23)"
0,31,2.0,"(34, 23)"
0,32,2.0,"(42, 31)"
0,33,2.0,"(40, 16)"
0,34,2.0,"(12, 34)"
0,35,2.0,"(25, 49)"
0,36,2.0,"(14, 14)"
0,37,2.0,"(14, 2)"
0,38,2.0,"(49, 25)"
0,39,2.0,"(44, 8)"
0,40,2.0,"(21, 7)"
0,41,2.0,"(47, 5)"
0,42,2.0,"(17, 49)"
0,43,2.0,"(24, 0)"
0,44,2.0,"(30, 7)"
0,45,2.0,"(16, 13)"
0,46,2.0,"(26, 5)"
0,47,2.0,"(29, 12)"
0,48,2.0,"(22, 47)"
0,49,2.0,"(40, 44)"
0,50,2.0,"(3, 12)"
0,51,2.0,"(28, 32)"
0,52,2.0,"(48, 30)"
0,53,2.0,"(35, 28)"
0,54,2.0,"(35, 23)"
0,55,2.0,"(33, 38)"
0,56,2.0,"(39, 14)"
0,57,2.0,"(42, 1)"
0,58,2.0,"(18, 13)"
0,59,2.0,"(44, 29)"
0,60,2.0,"(26, 22)"
0,61,2.0,"(24, 4)"
0,62,2.0,"(35, 3)"
0,63,2.0,"(19, 15)"
0,64,2.0,"(30, 14)"
0,65,2.0,"(3, 25)"
0,66,2.0,"(12, 45)"
0,67,2.0,"(24, 18)"
0,68,2.0,"(22, 27)"
0,69,2.0,"(35, 6)"
0,70,2.0,"(47, 20)"
0,71,2.0,"(37, 16)"
0,72,2.0,"(44, 16)"
0,73,2.0,"(26, 38)"
0,74,2.0,"(46, 42)"
0,75,2.0,"(40, 40)"
0,76,2.0,"(7, 41)"
0,77,2.0,"(19, 28)"
0,78,2.0,"(27, 40)"
0,79,2.0,"(10, 0)"
0,80,2.0,"(17, 34)"
0,81,2.0,"(48, 26)"
0,82,2.0,"(27, 37)"
0,83,2.0,"(0, 43)"
0,84,2.0,"(43, 20)"
0,85,2.0,"(12, 40)"
0,86,2.0,"(28, 25)"
0,87,2.0,"(29, 47)"
0,88,2.0,"(39, 32)"
0,89,2.0,"(20, 26)"
0,90,2.0,"(38, 6)"
0,91,2.0,"(4, 32)"
0,92,2.0,"(30, 21)"
0,93,2.0,"(21, 26)"
0,94,2.0,"(35, 19)"
0,95,2.0,"(42, 46)"
0,96,2.0,"(24, 14)"
0,97,2.0,"(24, 32)"
0,98,2.0,"(38, 30)"
0,99,2.0,"(34, 33)"
1,0,5.0,"(38, 16)"
1,1,5.0,"(38, 10)"
1,2,2.0,"(3, 20)"
1,3,4.0,"(40, 6)"
1,4,2.0,"(43, 34)"
1,5,5.0,"(33, 9)"
1,6,1.0,"(3, 9)"
1,7,4.0,"(31, 24)"
1,8,4.0,"(26, 23)"
1,9,3.0,"(5, 24)"
1,10,1.0,"(5, 9)"
1,11,4.0,"(44, 18)"
1,12,4.0,"(38, 21)"
1,13,5.0,"(16, 38)"
1,14,5.0,"(29, 15)"
1,15,1.0,"(48, 42)"
1,16,3.0,"(42, 24)"
1,17,2.0,"(47, 32)"
1,18,5.0,"(7, 39)"
1,19,3.0,"(3, 25)"
1,20,5.0,"(6, 41)"
1,21,5.0,"(39, 17)"
1,22,2.0,"(40, 36)"
1,23,3.0,"(11, 26)"
1,24,4.0,"(6, 29)"
1,25,5.0,"(40, 14)"
1,26,1.0,"(43, 43)"
1,27,4.0,"(44, 14)"
1,28,2.0,"(34, 33)"
1,29,3.0,"(18, 15)"
1,30,5.0,"(34, 20)"
1,31,5.0,"(36, 20)"
1,32,3.0,"(41, 29)"
1,33,5.0,"(38, 18)"
1,34,5.0,"(15, 37)"
1,35,3.0,"(23, 47)"
1,36,2.0,"(11, 17)"
1,37,2.0,"(17, 3)"
1,38,3.0,"(46, 23)"
1,39,4.0,"(41, 11)"
1,40,3.0,"(23, 9)"
1,41,3.0,"(46, 6)"
1,42,4.0,"(15, 48)"
1,43,3.0,"(27, 0)"
1,44,5.0,"(31, 10)"
1,45,3.0,"(19, 11)"
1,46,4.0,"(28, 7)"
1,47,5.0,"(32, 14)"
1,48,4.0,"(19, 45)"
1,49,1.0,"(41, 42)"
1,50,2.0,"(6, 15)"
1,51,3.0,"(27, 30)"
1,52,2.0,"(49, 32)"
1,53,4.0,"(32, 25)"
1,54,5.0,"(33, 20)"
1,55,3.0,"(30, 35)"
1,56,5.0,"(36, 13)"
1,57,3.0,"(42, 4)"
1,58,3.0,"(21, 11)"
1,59,3.0,"(41, 28)"
1,60,4.0,"(24, 19)"
1,61,4.0,"(27, 7)"
1,62,4.0,"(37, 4)"
1,63,3.0,"(19, 16)"
1,64,5.0,"(31, 16)"
1,65,3.0,"(4, 24)"
1,66,5.0,"(11, 42)"
1,67,4.0,"(26, 19)"
1,68,4.0,"(19, 30)"
1,69,5.0,"(34, 9)"
1,70,4.0,"(45, 17)"
1,71,5.0,"(36, 17)"
1,72,4.0,"(44, 15)"
1,73,3.0,"(24, 37)"
1,74,1.0,"(49, 43)"
1,75,2.0,"(37, 37)"
1,76,5.0,"(6, 40)"
1,77,4.0,"(17, 31)"
1,78,3.0,"(25, 39)"
1,79,1.0,"(7, 3)"
1,80,5.0,"(16, 37)"
1,81,3.0,"(46, 25)"
1,82,3.0,"(28, 35)"
1,83,4.0,"(2, 41)"
1,84,4.0,"(43, 17)"
1,85,5.0,"(15, 42)"
1,86,4.0,"(29, 24)"
1,87,2.0,"(26, 48)"
1,88,3.0,"(36, 30)"
1,89,4.0,"(18, 29)"
1,90,5.0,"(36, 9)"
