,Wealth,Position,Tax Revenue
"(0, '0')",2.0,"(41, 22)",
"(0, '1')",2.0,"(36, 41)",
"(0, '2')",2.0,"(16, 24)",
"(0, '3')",2.0,"(36, 49)",
"(0, '4')",2.0,"(37, 29)",
"(0, '5')",2.0,"(4, 46)",
"(0, '6')",2.0,"(45, 37)",
"(0, '7')",2.0,"(38, 24)",
"(0, '8')",2.0,"(11, 24)",
"(0, '9')",2.0,"(24, 46)",
"(1, '0')",5.0,"(38, 19)",
"(1, '1')",2.0,"(34, 39)",
"(1, '2')",3.0,"(17, 23)",
"(1, '3')",1.0,"(34, 46)",
"(1, '4')",3.0,"(40, 29)",
"(1, '5')",5.0,"(7, 43)",
"(1, '6')",2.0,"(45, 34)",
"(1, '7')",4.0,"(35, 23)",
"(1, '8')",3.0,"(10, 24)",
"(1, '9')",3.0,"(23, 47)",
"(2, '0')",8.0,"(39, 17)",
"(2, '1')",2.0,"(33, 41)",
"(2, '2')",4.0,"(19, 26)",
"(2, '3')",1.0,"(31, 44)",
"(2, '4')",4.0,"(37, 27)",
"(2, '5')",8.0,"(10, 44)",
"(2, '6')",2.0,"(43, 35)",
"(2, '7')",7.0,"(36, 20)",
"(2, '8')",4.0,"(12, 25)",
"(2, '9')",4.0,"(21, 44)",
"(3, '0')",9.9,"(39, 16)",
"(3, '1')",2.0,"(34, 41)",
"(3, '2')",6.0,"(16, 29)",
"(3, '3')",1.0,"(29, 43)",
"(3, '4')",6.0,"(36, 25)",
"(3, '5')",9.9,"(13, 41)",
"(3, '6')",2.0,"(41, 33)",
"(3, '7')",10.0,"(34, 17)",
"(3, '8')",6.0,"(15, 28)",
"(3, '9')",6.0,"(18, 42)",
"(4, '0')",11.610000000000001,"(36, 16)",
"(4, '1')",2.0,"(33, 40)",
"(4, '2')",8.0,"(16, 28)",
"(4, '3')",2.0,"(26, 40)",
"(4, '4')",8.0,"(38, 24)",
"(4, '5')",11.610000000000001,"(14, 39)",
"(4, '6')",3.0,"(38, 30)",
"(4, '7')",11.700000000000001,"(36, 17)",
"(4, '8')",8.0,"(13, 29)",
"(4, '9')",9.0,"(15, 40)",
"(5, '0')",13.149000000000001,"(37, 16)",
"(5, '1')",2.0,"(35, 40)",
"(5, '2')",10.0,"(15, 31)",
"(5, '3')",3.0,"(26, 38)",
"(5, '4')",10.0,"(36, 24)",
"(5, '5')",13.149000000000001,"(13, 40)",
"(5, '6')",4.0,"(40, 28)",
"(5, '7')",13.23,"(35, 18)",
"(5, '8')",10.0,"(13, 28)",
"(5, '9')",10.8,"(13, 42)",
"(6, '0')",14.5341,"(40, 13)",
"(6, '1')",2.0,"(37, 37)",
"(6, '2')",11.700000000000001,"(12, 33)",
"(6, '3')",4.0,"(23, 39)",
"(6, '4')",10.8,"(38, 22)",
"(6, '5')",14.5341,"(14, 37)",
"(6, '6')",6.0,"(37, 25)",
"(6, '7')",14.607000000000001,"(36, 19)",
"(6, '8')",10.8,"(12, 31)",
"(6, '9')",12.420000000000002,"(16, 39)",
"(7, '0')",15.780690000000002,"(39, 12)",
"(7, '1')",2.0,"(34, 39)",
"(7, '2')",13.23,"(14, 36)",
"(7, '3')",6.0,"(21, 40)",
"(7, '4')",12.420000000000002,"(37, 19)",
"(7, '5')",15.780690000000002,"(12, 39)",
"(7, '6')",8.0,"(36, 23)",
"(7, '7')",15.8463,"(39, 17)",
"(7, '8')",12.420000000000002,"(11, 33)",
"(7, '9')",13.878000000000002,"(16, 40)",
"(8, '0')",16.902621,"(39, 15)",
"(8, '1')",2.0,"(32, 36)",
"(8, '2')",14.607000000000001,"(15, 38)",
"(8, '3')",8.0,"(21, 41)",
"(8, '4')",13.878000000000002,"(34, 20)",
"(8, '5')",16.902621,"(12, 37)",
"(8, '6')",9.9,"(33, 20)",
"(8, '7')",16.96167,"(37, 14)",
"(8, '8')",13.878000000000002,"(10, 34)",
"(8, '9')",15.1902,"(13, 38)",
"(9, '0')",17.9123589,"(36, 15)",
"(9, '1')",3.0,"(29, 33)",
"(9, '2')",15.8463,"(12, 41)",
"(9, '3')",10.0,"(19, 39)",
"(9, '4')",15.1902,"(34, 19)",
"(9, '5')",17.9123589,"(9, 38)",
"(9, '6')",11.610000000000001,"(35, 17)",
"(9, '7')",17.965503000000002,"(40, 15)",
"(9, '8')",15.1902,"(9, 36)",
"(9, '9')",16.371180000000003,"(14, 38)",
"(10, '0')",18.82112301,"(36, 14)",
"(10, '1')",4.0,"(32, 33)",
"(10, '2')",16.96167,"(12, 40)",
"(10, '3')",11.700000000000001,"(16, 39)",
"(10, '4')",16.371180000000003,"(36, 17)",
"(10, '5')",18.82112301,"(11, 38)",
"(10, '6')",13.149000000000001,"(34, 18)",
"(10, '7')",18.8689527,"(39, 14)",
"(10, '8')",16.371180000000003,"(8, 36)",
"(10, '9')",17.434062000000004,"(11, 41)",
"(11, '0')",19.639010709,"(35, 16)",
"(11, '1')",5.0,"(29, 31)",
"(11, '2')",17.965503000000002,"(15, 40)",
"(11, '3')",13.23,"(13, 42)",
"(11, '4')",17.434062000000004,"(35, 18)",
"(11, '5')",19.639010709,"(14, 39)",
"(11, '6')",14.5341,"(34, 17)",
"(11, '7')",19.68205743,"(38, 15)",
