Step,AgentID,Wealth,Position,Tax Revenue
0,0,2.0,"(35, 32)",
0,1,2.0,"(34, 11)",
0,2,2.0,"(39, 35)",
0,3,2.0,"(12, 35)",
0,4,2.0,"(41, 29)",
0,5,2.0,"(30, 28)",
0,6,2.0,"(38, 3)",
0,7,2.0,"(0, 17)",
0,8,2.0,"(3, 47)",
0,9,2.0,"(8, 34)",
1,0,3.0,"(35, 29)",
1,1,5.0,"(32, 12)",
1,2,2.0,"(36, 36)",
1,3,5.0,"(11, 35)",
1,4,3.0,"(41, 28)",
1,5,4.0,"(31, 25)",
1,6,4.0,"(35, 5)",
1,7,2.0,"(1, 19)",
1,8,4.0,"(6, 48)",
1,9,5.0,"(7, 36)",
2,0,4.0,"(37, 27)",
2,1,8.0,"(31, 11)",
2,2,2.0,"(39, 37)",
2,3,8.0,"(12, 36)",
2,4,4.0,"(43, 26)",
2,5,6.0,"(29, 24)",
2,6,6.0,"(33, 4)",
2,7,2.0,"(1, 21)",
2,8,6.0,"(9, 49)",
2,9,8.0,"(8, 36)",
3,0,6.0,"(35, 24)",
3,1,9.9,"(34, 12)",
3,2,2.0,"(38, 34)",
3,3,9.9,"(15, 39)",
3,4,6.0,"(41, 23)",
3,5,8.0,"(27, 24)",
3,6,8.0,"(30, 6)",
3,7,3.0,"(4, 24)",
3,8,8.0,"(12, 48)",
3,9,9.9,"(9, 38)",
4,0,8.0,"(34, 21)",
4,1,11.610000000000001,"(33, 9)",
4,2,3.0,"(35, 31)",
4,3,11.610000000000001,"(15, 41)",
4,4,8.0,"(42, 20)",
4,5,10.0,"(29, 21)",
4,6,10.0,"(29, 7)",
4,7,4.0,"(3, 27)",
4,8,10.0,"(14, 48)",
4,9,11.610000000000001,"(6, 37)",
5,0,9.9,"(37, 19)",
5,1,13.149000000000001,"(35, 11)",
5,2,4.0,"(32, 31)",
5,3,13.149000000000001,"(13, 40)",
5,4,9.9,"(39, 18)",
5,5,11.700000000000001,"(32, 18)",
5,6,11.700000000000001,"(31, 10)",
5,7,6.0,"(6, 29)",
5,8,10.8,"(11, 45)",
5,9,13.149000000000001,"(7, 40)",
6,0,11.610000000000001,"(37, 16)",
6,1,14.5341,"(36, 13)",
6,2,5.0,"(35, 31)",
6,3,14.5341,"(14, 39)",
6,4,11.610000000000001,"(38, 16)",
6,5,13.23,"(32, 19)",
6,6,13.23,"(30, 11)",
6,7,8.0,"(9, 32)",
6,8,12.420000000000002,"(8, 42)",
6,9,14.5341,"(6, 38)",
7,0,13.149000000000001,"(35, 14)",
7,1,15.780690000000002,"(34, 14)",
7,2,6.0,"(32, 29)",
