Step,AgentID,Wealth,Position
0,0,2.0,"(47, 20)"
0,1,2.0,"(1, 43)"
0,2,2.0,"(28, 14)"
0,3,2.0,"(35, 49)"
0,4,2.0,"(41, 35)"
0,5,2.0,"(37, 12)"
0,6,2.0,"(13, 4)"
0,7,2.0,"(19, 42)"
0,8,2.0,"(0, 13)"
0,9,2.0,"(13, 37)"
1,0,4.0,"(45, 17)"
1,1,4.0,"(1, 41)"
1,2,5.0,"(30, 14)"
1,3,1.0,"(38, 47)"
1,4,2.0,"(42, 33)"
1,5,5.0,"(37, 11)"
1,6,2.0,"(14, 7)"
1,7,5.0,"(16, 39)"
1,8,1.0,"(2, 15)"
1,9,5.0,"(12, 38)"
2,0,6.0,"(42, 17)"
2,1,6.0,"(2, 39)"
2,2,8.0,"(31, 13)"
2,4,2.0,"(43, 34)"
2,5,8.0,"(34, 11)"
2,6,2.0,"(15, 5)"
2,7,8.0,"(16, 40)"
2,8,1.0,"(5, 18)"
2,9,8.0,"(13, 35)"
3,0,9.0,"(39, 15)"
3,1,9.0,"(5, 39)"
3,2,9.9,"(34, 13)"
3,4,2.0,"(41, 33)"
3,5,9.9,"(32, 13)"
3,6,2.0,"(17, 3)"
3,7,9.9,"(13, 39)"
3,8,1.0,"(3, 21)"
3,9,9.9,"(11, 34)"
4,0,10.8,"(37, 18)"
4,1,10.8,"(6, 37)"
4,2,11.610000000000001,"(32, 12)"
4,4,3.0,"(38, 30)"
4,5,11.610000000000001,"(29, 14)"
4,6,2.0,"(19, 3)"
4,7,11.610000000000001,"(11, 37)"
4,8,2.0,"(5, 24)"
4,9,11.610000000000001,"(10, 35)"
5,0,12.420000000000002,"(34, 20)"
5,1,12.420000000000002,"(8, 35)"
5,2,13.149000000000001,"(31, 10)"
5,4,4.0,"(40, 27)"
5,5,13.149000000000001,"(32, 15)"
5,6,3.0,"(22, 5)"
5,7,13.149000000000001,"(10, 39)"
5,8,3.0,"(4, 27)"
5,9,13.149000000000001,"(11, 35)"
6,0,13.878000000000002,"(31, 18)"
6,1,13.878000000000002,"(8, 36)"
6,2,14.5341,"(33, 13)"
6,4,6.0,"(37, 25)"
6,5,14.5341,"(34, 18)"
6,6,4.0,"(25, 8)"
6,7,14.5341,"(13, 37)"
6,8,5.0,"(5, 30)"
6,9,14.5341,"(9, 33)"
7,0,15.1902,"(33, 19)"
7,1,15.1902,"(7, 39)"
7,2,15.780690000000002,"(35, 12)"
7,4,8.0,"(35, 23)"
7,5,15.780690000000002,"(32, 16)"
7,6,6.0,"(28, 9)"
7,7,15.780690000000002,"(16, 39)"
7,8,7.0,"(8, 31)"
7,9,15.780690000000002,"(9, 36)"
8,0,16.371180000000003,"(35, 20)"
8,1,16.371180000000003,"(9, 37)"
8,2,16.902621,"(37, 15)"
8,4,9.9,"(36, 20)"
8,5,16.902621,"(30, 14)"
8,6,9.0,"(31, 12)"
8,7,16.902621,"(13, 38)"
8,8,10.0,"(10, 34)"
8,9,16.902621,"(12, 33)"
9,0,17.434062000000004,"(32, 17)"
9,1,17.434062000000004,"(12, 36)"
9,2,17.9123589,"(35, 14)"
