,Tax Revenue,Inheritance Tax Revenue,Vision,N_Agents,Size,tax brackets,tax percentages,inheritance taxbrackets,inheritance tax percentages,Starting Wealth
0,0.0,0.0,3,30,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.1, 0.2, 0.35, 0.6]",2
1,0.0,0.0,3,30,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.1, 0.2, 0.35, 0.6]",2
2,0.0,0.0,3,30,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.1, 0.2, 0.35, 0.6]",2
3,0.0,0.0,3,30,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.1, 0.2, 0.35, 0.6]",2
4,0.0,0.0,3,30,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.1, 0.2, 0.35, 0.6]",2
5,0.0,0.0,3,30,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.1, 0.2, 0.35, 0.6]",2
6,0.0,0.0,3,30,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.1, 0.2, 0.35, 0.6]",2
7,0.0,0.0,3,30,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.1, 0.2, 0.35, 0.6]",2
8,0.0,0.0,3,30,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.1, 0.2, 0.35, 0.6]",2
9,0.0,0.0,3,30,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.1, 0.2, 0.35, 0.6]",2
10,0.0,0.0,3,30,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.1, 0.2, 0.35, 0.6]",2
11,0.0,0.0,3,30,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.1, 0.2, 0.35, 0.6]",2
12,0.0,0.0,3,30,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.1, 0.2, 0.35, 0.6]",2
13,0.0,0.0,3,30,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.1, 0.2, 0.35, 0.6]",2
14,0.0,0.0,3,30,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.1, 0.2, 0.35, 0.6]",2
15,0.0,0.0,3,30,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.1, 0.2, 0.35, 0.6]",2
16,0.0,0.0,3,30,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.1, 0.2, 0.35, 0.6]",2
17,0.0,0.0,3,30,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.1, 0.2, 0.35, 0.6]",2
18,0.0,0.0,3,30,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.1, 0.2, 0.35, 0.6]",2
19,0.0,0.0,3,30,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.1, 0.2, 0.35, 0.6]",2
20,0.0,0.0,3,30,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.1, 0.2, 0.35, 0.6]",2
21,0.0,0.0,3,30,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.1, 0.2, 0.35, 0.6]",2
22,0.0,0.0,3,30,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.1, 0.2, 0.35, 0.6]",2
23,0.0,0.0,3,30,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.1, 0.2, 0.35, 0.6]",2
