Step,AgentID,Wealth,Position,Vision,N_Agents,Size,tax brackets,tax percentages,inheritance taxbrackets,inheritance tax percentages,Starting Wealth
0,0,5.0,"(41, 40)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,1,5.0,"(30, 14)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,2,5.0,"(48, 10)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,3,5.0,"(38, 2)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,4,5.0,"(28, 11)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,5,5.0,"(42, 18)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,6,5.0,"(9, 35)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,7,5.0,"(22, 29)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,8,5.0,"(25, 8)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,9,5.0,"(21, 46)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,0,5.0,"(38, 38)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,1,8.0,"(29, 14)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,2,7.0,"(45, 12)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,3,7.0,"(37, 4)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,4,8.0,"(30, 12)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,5,8.0,"(40, 16)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,6,8.0,"(10, 35)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,7,7.0,"(20, 31)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,8,8.0,"(30, 11)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,9,7.0,"(19, 45)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
2,0,5.0,"(38, 37)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
2,1,11.0,"(30, 14)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
2,2,10.0,"(40, 13)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
2,3,10.0,"(36, 9)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
2,4,11.0,"(30, 13)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
2,5,11.0,"(40, 15)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
2,6,11.0,"(9, 35)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
2,7,10.0,"(15, 35)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
2,8,11.0,"(31, 11)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
2,9,10.0,"(15, 42)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
3,0,5.0,"(37, 37)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
3,1,14.0,"(29, 14)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
3,2,13.0,"(40, 14)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
3,3,13.0,"(35, 9)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
3,4,14.0,"(31, 13)",5,10,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
