Step,AgentID,Wealth,Position,Vision,N_Agents,Size,inheritance taxbrackets,inheritance tax percentages,Starting Wealth
0,0,5.0,"(31, 17)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,1,5.0,"(32, 7)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,2,5.0,"(26, 49)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,3,5.0,"(33, 33)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,4,5.0,"(0, 12)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,5,5.0,"(2, 24)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,6,5.0,"(1, 37)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,7,5.0,"(13, 20)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,8,5.0,"(41, 43)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,9,5.0,"(9, 38)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,10,5.0,"(5, 3)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,11,5.0,"(13, 49)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,12,5.0,"(7, 6)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,13,5.0,"(46, 12)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,14,5.0,"(11, 32)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,15,5.0,"(34, 2)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,16,5.0,"(26, 8)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,17,5.0,"(14, 48)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,18,5.0,"(1, 8)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,19,5.0,"(15, 2)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,20,5.0,"(28, 40)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,21,5.0,"(17, 32)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,22,5.0,"(1, 16)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,23,5.0,"(28, 15)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,24,5.0,"(8, 23)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,25,5.0,"(18, 17)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,26,5.0,"(43, 5)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,27,5.0,"(0, 16)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,28,5.0,"(10, 37)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,29,5.0,"(8, 47)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,30,5.0,"(49, 2)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,31,5.0,"(14, 42)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,32,5.0,"(7, 22)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,33,5.0,"(25, 29)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,34,5.0,"(23, 36)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,35,5.0,"(17, 10)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,36,5.0,"(41, 43)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,37,5.0,"(24, 45)",5,223,50,"[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
