Step,AgentID,Wealth,Position
0,0,2.0,"(7, 43)"
0,1,2.0,"(37, 3)"
0,2,2.0,"(38, 45)"
0,3,2.0,"(0, 29)"
0,4,2.0,"(29, 32)"
0,5,2.0,"(38, 11)"
0,6,2.0,"(29, 40)"
0,7,2.0,"(5, 47)"
0,8,2.0,"(27, 42)"
0,9,2.0,"(40, 39)"
0,10,2.0,"(5, 26)"
0,11,2.0,"(7, 15)"
0,12,2.0,"(26, 8)"
0,13,2.0,"(7, 49)"
0,14,2.0,"(27, 47)"
0,15,2.0,"(29, 47)"
0,16,2.0,"(3, 6)"
0,17,2.0,"(41, 11)"
0,18,2.0,"(36, 34)"
0,19,2.0,"(33, 44)"
0,20,2.0,"(43, 27)"
0,21,2.0,"(43, 47)"
0,22,2.0,"(24, 40)"
0,23,2.0,"(27, 39)"
0,24,2.0,"(22, 35)"
0,25,2.0,"(5, 23)"
0,26,2.0,"(21, 3)"
0,27,2.0,"(29, 18)"
0,28,2.0,"(13, 17)"
0,29,2.0,"(32, 27)"
0,30,2.0,"(38, 0)"
0,31,2.0,"(11, 1)"
0,32,2.0,"(16, 42)"
0,33,2.0,"(39, 48)"
0,34,2.0,"(25, 38)"
0,35,2.0,"(43, 42)"
0,36,2.0,"(29, 0)"
0,37,2.0,"(44, 12)"
0,38,2.0,"(39, 46)"
0,39,2.0,"(49, 18)"
0,40,2.0,"(22, 20)"
0,41,2.0,"(34, 46)"
0,42,2.0,"(22, 48)"
0,43,2.0,"(35, 2)"
0,44,2.0,"(0, 30)"
0,45,2.0,"(48, 46)"
0,46,2.0,"(23, 47)"
0,47,2.0,"(37, 0)"
0,48,2.0,"(33, 28)"
0,49,2.0,"(4, 43)"
0,50,2.0,"(48, 46)"
0,51,2.0,"(41, 20)"
0,52,2.0,"(49, 31)"
0,53,2.0,"(42, 27)"
0,54,2.0,"(8, 34)"
0,55,2.0,"(3, 21)"
0,56,2.0,"(12, 30)"
0,57,2.0,"(15, 14)"
0,58,2.0,"(17, 32)"
0,59,2.0,"(12, 25)"
0,60,2.0,"(42, 44)"
0,61,2.0,"(44, 20)"
0,62,2.0,"(5, 39)"
0,63,2.0,"(38, 48)"
0,64,2.0,"(14, 34)"
0,65,2.0,"(11, 48)"
0,66,2.0,"(43, 14)"
0,67,2.0,"(17, 36)"
0,68,2.0,"(2, 35)"
0,69,2.0,"(25, 27)"
0,70,2.0,"(32, 15)"
0,71,2.0,"(20, 4)"
0,72,2.0,"(43, 10)"
0,73,2.0,"(43, 44)"
0,74,2.0,"(27, 14)"
0,75,2.0,"(40, 48)"
0,76,2.0,"(43, 21)"
0,77,2.0,"(22, 20)"
0,78,2.0,"(32, 43)"
