Step,AgentID,Wealth,Position,Exp name,Vision,Tax Rate,Ams map,Death,Inst regrowth
0,0,5.0,"(38, 38)",insregrow,6,1,False,True,False
0,1,5.0,"(35, 22)",insregrow,6,1,False,True,False
0,2,5.0,"(20, 8)",insregrow,6,1,False,True,False
0,3,5.0,"(7, 44)",insregrow,6,1,False,True,False
0,4,5.0,"(18, 49)",insregrow,6,1,False,True,False
0,5,5.0,"(17, 19)",insregrow,6,1,False,True,False
0,6,5.0,"(47, 16)",insregrow,6,1,False,True,False
0,7,5.0,"(9, 48)",insregrow,6,1,False,True,False
0,8,5.0,"(15, 0)",insregrow,6,1,False,True,False
0,9,5.0,"(8, 41)",insregrow,6,1,False,True,False
0,10,5.0,"(46, 7)",insregrow,6,1,False,True,False
0,11,5.0,"(26, 34)",insregrow,6,1,False,True,False
0,12,5.0,"(39, 17)",insregrow,6,1,False,True,False
0,13,5.0,"(37, 39)",insregrow,6,1,False,True,False
0,14,5.0,"(44, 26)",insregrow,6,1,False,True,False
0,15,5.0,"(48, 8)",insregrow,6,1,False,True,False
0,16,5.0,"(22, 20)",insregrow,6,1,False,True,False
0,17,5.0,"(35, 43)",insregrow,6,1,False,True,False
0,18,5.0,"(44, 24)",insregrow,6,1,False,True,False
0,19,5.0,"(6, 30)",insregrow,6,1,False,True,False
0,20,5.0,"(2, 43)",insregrow,6,1,False,True,False
0,21,5.0,"(16, 47)",insregrow,6,1,False,True,False
0,22,5.0,"(31, 25)",insregrow,6,1,False,True,False
0,23,5.0,"(33, 11)",insregrow,6,1,False,True,False
0,24,5.0,"(41, 33)",insregrow,6,1,False,True,False
0,25,5.0,"(13, 45)",insregrow,6,1,False,True,False
0,26,5.0,"(3, 23)",insregrow,6,1,False,True,False
0,27,5.0,"(35, 17)",insregrow,6,1,False,True,False
0,28,5.0,"(38, 30)",insregrow,6,1,False,True,False
0,29,5.0,"(27, 30)",insregrow,6,1,False,True,False
0,30,5.0,"(49, 44)",insregrow,6,1,False,True,False
0,31,5.0,"(22, 0)",insregrow,6,1,False,True,False
0,32,5.0,"(30, 4)",insregrow,6,1,False,True,False
0,33,5.0,"(44, 28)",insregrow,6,1,False,True,False
0,34,5.0,"(21, 24)",insregrow,6,1,False,True,False
0,35,5.0,"(34, 36)",insregrow,6,1,False,True,False
0,36,5.0,"(48, 34)",insregrow,6,1,False,True,False
0,37,5.0,"(8, 29)",insregrow,6,1,False,True,False
0,38,5.0,"(49, 24)",insregrow,6,1,False,True,False
0,39,5.0,"(38, 32)",insregrow,6,1,False,True,False
0,40,5.0,"(4, 38)",insregrow,6,1,False,True,False
0,41,5.0,"(3, 7)",insregrow,6,1,False,True,False
0,42,5.0,"(5, 44)",insregrow,6,1,False,True,False
0,43,5.0,"(37, 36)",insregrow,6,1,False,True,False
0,44,5.0,"(43, 48)",insregrow,6,1,False,True,False
0,45,5.0,"(23, 5)",insregrow,6,1,False,True,False
0,46,5.0,"(36, 12)",insregrow,6,1,False,True,False
0,47,5.0,"(1, 11)",insregrow,6,1,False,True,False
0,48,5.0,"(32, 31)",insregrow,6,1,False,True,False
0,49,5.0,"(27, 14)",insregrow,6,1,False,True,False
0,50,5.0,"(40, 48)",insregrow,6,1,False,True,False
0,51,5.0,"(38, 11)",insregrow,6,1,False,True,False
0,52,5.0,"(3, 21)",insregrow,6,1,False,True,False
0,53,5.0,"(9, 5)",insregrow,6,1,False,True,False
0,54,5.0,"(35, 19)",insregrow,6,1,False,True,False
0,55,5.0,"(32, 43)",insregrow,6,1,False,True,False
0,56,5.0,"(48, 20)",insregrow,6,1,False,True,False
0,57,5.0,"(20, 3)",insregrow,6,1,False,True,False
0,58,5.0,"(33, 41)",insregrow,6,1,False,True,False
0,59,5.0,"(40, 48)",insregrow,6,1,False,True,False
0,60,5.0,"(34, 47)",insregrow,6,1,False,True,False
0,61,5.0,"(9, 41)",insregrow,6,1,False,True,False
0,62,5.0,"(22, 6)",insregrow,6,1,False,True,False
0,63,5.0,"(18, 18)",insregrow,6,1,False,True,False
0,64,5.0,"(21, 34)",insregrow,6,1,False,True,False
0,65,5.0,"(3, 6)",insregrow,6,1,False,True,False
0,66,5.0,"(36, 28)",insregrow,6,1,False,True,False
0,67,5.0,"(33, 14)",insregrow,6,1,False,True,False
0,68,5.0,"(0, 13)",insregrow,6,1,False,True,False
0,69,5.0,"(11, 30)",insregrow,6,1,False,True,False
0,70,5.0,"(42, 36)",insregrow,6,1,False,True,False
0,71,5.0,"(20, 21)",insregrow,6,1,False,True,False
0,72,5.0,"(11, 12)",insregrow,6,1,False,True,False
0,73,5.0,"(47, 5)",insregrow,6,1,False,True,False
0,74,5.0,"(25, 17)",insregrow,6,1,False,True,False
0,75,5.0,"(7, 33)",insregrow,6,1,False,True,False
0,76,5.0,"(21, 32)",insregrow,6,1,False,True,False
0,77,5.0,"(9, 23)",insregrow,6,1,False,True,False
0,78,5.0,"(22, 8)",insregrow,6,1,False,True,False
0,79,5.0,"(39, 34)",insregrow,6,1,False,True,False
0,80,5.0,"(49, 34)",insregrow,6,1,False,True,False
0,81,5.0,"(4, 3)",insregrow,6,1,False,True,False
0,82,5.0,"(38, 2)",insregrow,6,1,False,True,False
0,83,5.0,"(36, 7)",insregrow,6,1,False,True,False
0,84,5.0,"(21, 35)",insregrow,6,1,False,True,False
0,85,5.0,"(3, 22)",insregrow,6,1,False,True,False
0,86,5.0,"(17, 6)",insregrow,6,1,False,True,False
0,87,5.0,"(22, 44)",insregrow,6,1,False,True,False
0,88,5.0,"(39, 16)",insregrow,6,1,False,True,False
0,89,5.0,"(44, 36)",insregrow,6,1,False,True,False
